
Line No.    Lexeme                          Token                   HasVal    Value          
-------------------------------------------------------------------------------------
1           %                               TK_COMMENT              no        ----           
2           %                               TK_COMMENT              no        ----           
3           %                               TK_COMMENT              no        ----           
5           %                               TK_COMMENT              no        ----           
6           %                               TK_COMMENT              no        ----           
7           %                               TK_COMMENT              no        ----           
8           definetype                      TK_DEFINETYPE           no        ----           
8           record                          TK_RECORD               no        ----           
8           #engine                         TK_RUID                 no        ----           
8           as                              TK_AS                   no        ----           
8           #motor                          TK_RUID                 no        ----           
9           definetype                      TK_DEFINETYPE           no        ----           
9           union                           TK_UNION                no        ----           
9           #sensor                         TK_RUID                 no        ----           
9           as                              TK_AS                   no        ----           
9           #detector                       TK_RUID                 no        ----           
11          record                          TK_RECORD               no        ----           
11          #engine                         TK_RUID                 no        ----           
12          type                            TK_TYPE                 no        ----           
12          int                             TK_INT                  no        ----           
12          :                               TK_COLON                no        ----           
12          horsepower                      TK_FIELDID              no        ----           
12          ;                               TK_SEM                  no        ----           
13          type                            TK_TYPE                 no        ----           
13          real                            TK_REAL                 no        ----           
13          :                               TK_COLON                no        ----           
13          displacement                    TK_FIELDID              no        ----           
13          ;                               TK_SEM                  no        ----           
14          type                            TK_TYPE                 no        ----           
14          int                             TK_INT                  no        ----           
14          :                               TK_COLON                no        ----           
14          cylinders                       TK_FIELDID              no        ----           
14          ;                               TK_SEM                  no        ----           
15          endrecord                       TK_ENDRECORD            no        ----           
17          record                          TK_RECORD               no        ----           
17          #chassis                        TK_RUID                 no        ----           
18          type                            TK_TYPE                 no        ----           
18          int                             TK_INT                  no        ----           
18          :                               TK_COLON                no        ----           
18          weight                          TK_FIELDID              no        ----           
18          ;                               TK_SEM                  no        ----           
19          type                            TK_TYPE                 no        ----           
19          real                            TK_REAL                 no        ----           
19          :                               TK_COLON                no        ----           
19          length                          TK_FIELDID              no        ----           
19          ;                               TK_SEM                  no        ----           
20          type                            TK_TYPE                 no        ----           
20          real                            TK_REAL                 no        ----           
20          :                               TK_COLON                no        ----           
20          width                           TK_FIELDID              no        ----           
20          ;                               TK_SEM                  no        ----           
21          endrecord                       TK_ENDRECORD            no        ----           
23          union                           TK_UNION                no        ----           
23          #sensor                         TK_RUID                 no        ----           
24          type                            TK_TYPE                 no        ----           
24          int                             TK_INT                  no        ----           
24          :                               TK_COLON                no        ----           
24          isactive                        TK_FIELDID              no        ----           
24          ;                               TK_SEM                  no        ----           
25          type                            TK_TYPE                 no        ----           
25          real                            TK_REAL                 no        ----           
25          :                               TK_COLON                no        ----           
