lexeme                CurrentNode                     lineno  tokenName               valueIfNumber  parentNodeSymbol                isLeaf  NodeSymbol
----------------------------------------------------------------------------------------------------------------------------------------------------------
_sumN                 TK_FUNID                        4       TK_FUNID                ----          function                        yes    ----
----                  function                        ----    ----                    ----          otherFunctions                  no     function
input                 TK_INPUT                        4       TK_INPUT                ----          input_par                       yes    ----
----                  input_par                       ----    ----                    ----          function                        no     input_par
parameter             TK_PARAMETER                    4       TK_PARAMETER            ----          input_par                       yes    ----
list                  TK_LIST                         4       TK_LIST                 ----          input_par                       yes    ----
[                     TK_SQL                          4       TK_SQL                  ----          input_par                       yes    ----
int                   TK_INT                          4       TK_INT                  ----          primitiveDatatype               yes    ----
----                  primitiveDatatype               ----    ----                    ----          dataType                        no     primitiveDatatype
----                  dataType                        ----    ----                    ----          parameter_list                  no     dataType
----                  parameter_list                  ----    ----                    ----          input_par                       no     parameter_list
d5cc34                TK_ID                           4       TK_ID                   ----          parameter_list                  yes    ----
----                  TK_ASSIGNOP                     0       TK_ASSIGNOP             ----          remaining_list                  yes    ----
----                  remaining_list                  ----    ----                    ----          parameter_list                  no     remaining_list
]                     TK_SQR                          4       TK_SQR                  ----          input_par                       yes    ----
output                TK_OUTPUT                       5       TK_OUTPUT               ----          output_par                      yes    ----
----                  output_par                      ----    ----                    ----          function                        no     output_par
parameter             TK_PARAMETER                    5       TK_PARAMETER            ----          output_par                      yes    ----
list                  TK_LIST                         5       TK_LIST                 ----          output_par                      yes    ----
[                     TK_SQL                          5       TK_SQL                  ----          output_par                      yes    ----
real                  TK_REAL                         5       TK_REAL                 ----          primitiveDatatype               yes    ----
----                  primitiveDatatype               ----    ----                    ----          dataType                        no     primitiveDatatype
----                  dataType                        ----    ----                    ----          parameter_list                  no     dataType
----                  parameter_list                  ----    ----                    ----          output_par                      no     parameter_list
d3                    TK_ID                           5       TK_ID                   ----          parameter_list                  yes    ----
----                  TK_ASSIGNOP                     0       TK_ASSIGNOP             ----          remaining_list                  yes    ----
----                  remaining_list                  ----    ----                    ----          parameter_list                  no     remaining_list
]                     TK_SQR                          5       TK_SQR                  ----          output_par                      yes    ----
;                     TK_SEM                          5       TK_SEM                  ----          function                        yes    ----
----                  TK_ASSIGNOP                     0       TK_ASSIGNOP             ----          typeDefinitions                 yes    ----
----                  typeDefinitions                 ----    ----                    ----          stmts                           no     typeDefinitions
----                  stmts                           ----    ----                    ----          function                        no     stmts
type                  TK_TYPE                         6       TK_TYPE                 ----          declaration                     yes    ----
----                  declaration                     ----    ----                    ----          declarations                    no     declaration
