lexeme                CurrentNode                     lineno  tokenName               valueIfNumber  parentNodeSymbol                isLeaf  NodeSymbol
----------------------------------------------------------------------------------------------------------------------------------------------------------
_unionfunction        TK_FUNID                        4       TK_FUNID                ----          function                        yes    ----
----                  function                        ----    ----                    ----          otherFunctions                  no     function
input                 TK_INPUT                        4       TK_INPUT                ----          input_par                       yes    ----
----                  input_par                       ----    ----                    ----          function                        no     input_par
parameter             TK_PARAMETER                    4       TK_PARAMETER            ----          input_par                       yes    ----
list                  TK_LIST                         4       TK_LIST                 ----          input_par                       yes    ----
[                     TK_SQL                          4       TK_SQL                  ----          input_par                       yes    ----
record                TK_RECORD                       4       TK_RECORD               ----          constructedDatatype             yes    ----
----                  constructedDatatype             ----    ----                    ----          dataType                        no     constructedDatatype
#two                  TK_RUID                         4       TK_RUID                 ----          constructedDatatype             yes    ----
----                  dataType                        ----    ----                    ----          parameter_list                  no     dataType
----                  parameter_list                  ----    ----                    ----          input_par                       no     parameter_list
d5cc34                TK_ID                           4       TK_ID                   ----          parameter_list                  yes    ----
,                     TK_COMMA                        4       TK_COMMA                ----          remaining_list                  yes    ----
----                  remaining_list                  ----    ----                    ----          parameter_list                  no     remaining_list
#point                TK_RUID                         4       TK_RUID                 ----          constructedDatatype             yes    ----
----                  constructedDatatype             ----    ----                    ----          dataType                        no     constructedDatatype
----                  dataType                        ----    ----                    ----          parameter_list                  no     dataType
----                  parameter_list                  ----    ----                    ----          remaining_list                  no     parameter_list
b5c6                  TK_ID                           4       TK_ID                   ----          parameter_list                  yes    ----
----                  TK_ASSIGNOP                     0       TK_ASSIGNOP             ----          remaining_list                  yes    ----
----                  remaining_list                  ----    ----                    ----          parameter_list                  no     remaining_list
]                     TK_SQR                          4       TK_SQR                  ----          input_par                       yes    ----
output                TK_OUTPUT                       5       TK_OUTPUT               ----          output_par                      yes    ----
----                  output_par                      ----    ----                    ----          function                        no     output_par
parameter             TK_PARAMETER                    5       TK_PARAMETER            ----          output_par                      yes    ----
